                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                 2.2233,                 2.3584,                 2.8061,                0.45559,                   0.55,                0.53336,                0.19901,                 2.0671,                 2.6992,                 2.8147,              0.0012714,              0.0012714,              0.0012714
                     95,                 2.1044,                 2.2954,                 2.7416,                0.51421,                   0.45,                0.47635,                0.15431,                 2.2372,                 2.3928,                 3.0207,              0.0012634,              0.0012634,              0.0012634
                     96,                 2.1661,                 2.1993,                  2.783,                0.61615,                0.43333,                0.43734,                0.10694,                 2.3609,                 2.4469,                 3.1896,              0.0012555,              0.0012555,              0.0012555
                     97,                 2.2585,                  2.304,                 2.8223,                0.61615,                0.43333,                0.43734,                0.10694,                 2.3609,                 2.4469,                 3.1896,              0.0012476,              0.0012476,              0.0012476
                     98,                 2.1497,                 2.1374,                 2.7732,                 0.5681,                0.39469,                0.36874,                 0.1005,                 2.3852,                 2.5487,                 3.2919,              0.0012397,              0.0012397,              0.0012397
                     99,                 2.3074,                 2.3916,                 2.8064,                0.51811,                    0.5,                0.49395,                0.16626,                 2.3435,                 2.3117,                 3.0847,              0.0012318,              0.0012318,              0.0012318
                    100,                 2.3383,                 2.3168,                 2.8449,                0.62815,                0.68333,                0.66971,                0.31278,                 2.0808,                  1.962,                 2.8047,              0.0012238,              0.0012238,              0.0012238
                    101,                 2.1395,                  2.029,                 2.7475,                0.62815,                0.68333,                0.66971,                0.31278,                 2.0808,                  1.962,                 2.8047,              0.0012159,              0.0012159,              0.0012159
                    102,                  2.213,                 2.1936,                 2.7805,                0.79627,                0.65143,                0.77502,                0.31946,                 2.0781,                 1.9208,                 2.7639,               0.001208,               0.001208,               0.001208
                    103,                 2.1157,                 2.1152,                 2.6873,                0.74722,                0.73333,                0.76936,                0.34887,                  1.978,                 1.8491,                 2.6649,              0.0012001,              0.0012001,              0.0012001
                    104,                 2.1659,                 2.0809,                 2.7374,                0.61144,                0.55078,                 0.6433,                0.26278,                 2.1273,                 2.1938,                 2.7908,              0.0011922,              0.0011922,              0.0011922
                    105,                 2.1441,                 2.2158,                 2.7165,                0.61144,                0.55078,                 0.6433,                0.26278,                 2.1273,                 2.1938,                 2.7908,              0.0011842,              0.0011842,              0.0011842
                    106,                  2.161,                 2.1133,                 2.7403,                0.47264,                0.43318,                0.43805,                0.15616,                 2.3875,                  3.227,                  3.248,              0.0011763,              0.0011763,              0.0011763
                    107,                 2.0864,                 2.1719,                 2.7027,                 0.7781,                0.31667,                0.44545,                0.17721,                 2.3038,                 2.9641,                   3.12,              0.0011684,              0.0011684,              0.0011684
                    108,                 2.1728,                 2.2459,                 2.7959,                0.56638,                    0.6,                0.61422,                0.24524,                 2.1308,                 2.1464,                 2.7806,              0.0011605,              0.0011605,              0.0011605
                    109,                 2.2321,                 2.0715,                 2.7592,                0.56638,                    0.6,                0.61422,                0.24524,                 2.1308,                 2.1464,                 2.7806,              0.0011526,              0.0011526,              0.0011526
                    110,                 2.1484,                 2.0888,                 2.6479,                0.71201,                0.61812,                0.74686,                0.33292,                 2.0513,                  1.926,                 2.7353,              0.0011446,              0.0011446,              0.0011446
                    111,                 2.2153,                 2.0539,                 2.6839,                0.71102,                0.68333,                0.74048,                0.32203,                 2.0556,                 1.9211,                 2.7346,              0.0011367,              0.0011367,              0.0011367
                    112,                 2.2706,                 2.0238,                 2.7541,                0.68334,                0.66667,                0.70663,                0.32017,                  2.004,                 1.9679,                 2.7228,              0.0011288,              0.0011288,              0.0011288
                    113,                 2.2061,                 2.0538,                 2.6877,                0.68334,                0.66667,                0.70663,                0.32017,                  2.004,                 1.9679,                 2.7228,              0.0011209,              0.0011209,              0.0011209
                    114,                 2.1236,                  2.113,                 2.7506,                   0.67,                0.73333,                0.77723,                0.36939,                 1.9591,                 1.8707,                 2.7123,               0.001113,               0.001113,               0.001113
                    115,                 2.1404,                 2.0676,                 2.6743,                0.64949,                0.66667,                0.71296,                0.30558,                 2.0796,                 1.9564,                 2.8242,               0.001105,               0.001105,               0.001105
                    116,                 2.2319,                 2.1455,                 2.6622,                0.55672,                0.56518,                0.60028,                0.22705,                  2.286,                 2.2797,                 2.9651,              0.0010971,              0.0010971,              0.0010971
                    117,                 2.2061,                 2.0468,                 2.7483,                0.55672,                0.56518,                0.60028,                0.22705,                  2.286,                 2.2797,                 2.9651,              0.0010892,              0.0010892,              0.0010892
                    118,                 2.1383,                 2.1523,                 2.7266,                0.47257,                0.50779,                0.45239,                0.14911,                 2.3053,                 2.4823,                 2.9895,              0.0010813,              0.0010813,              0.0010813
                    119,                 2.1681,                 2.0325,                 2.6681,                0.44293,                0.56986,                0.46342,                0.16936,                 2.1891,                 2.4255,                 2.9117,              0.0010734,              0.0010734,              0.0010734
                    120,                 2.1341,                 2.1185,                 2.6664,                0.65373,                0.51667,                0.64358,                0.28607,                 2.0269,                 2.2158,                 2.8033,              0.0010654,              0.0010654,              0.0010654
                    121,                 2.2061,                 2.1536,                 2.6876,                0.65373,                0.51667,                0.64358,                0.28607,                 2.0269,                 2.2158,                 2.8033,              0.0010575,              0.0010575,              0.0010575
                    122,                 2.1077,                  1.921,                 2.6343,                0.61896,                0.56667,                0.68786,                0.33802,                 1.9295,                 2.2066,                  2.744,              0.0010496,              0.0010496,              0.0010496
                    123,                 2.0577,                  1.967,                  2.661,                0.61796,                    0.5,                 0.6147,                0.29872,                  1.934,                 2.1571,                 2.7381,              0.0010417,              0.0010417,              0.0010417
                    124,                 2.1927,                 2.0811,                 2.6904,                0.56645,                0.54446,                 0.5667,                0.27403,                 2.0068,                 2.1656,                 2.8029,              0.0010338,              0.0010338,              0.0010338
                    125,                 2.1356,                 2.0653,                 2.6306,                0.56645,                0.54446,                 0.5667,                0.27403,                 2.0068,                 2.1656,                 2.8029,              0.0010258,              0.0010258,              0.0010258
                    126,                  2.003,                 1.9268,                 2.6335,                0.54353,                   0.55,                0.53534,                0.25497,                 2.0893,                 2.1399,                 2.8525,              0.0010179,              0.0010179,              0.0010179
                    127,                 2.0731,                 2.0322,                 2.6392,                0.60105,                0.67802,                0.62788,                0.30258,                 2.0853,                  1.973,                 2.8142,                0.00101,                0.00101,                0.00101
                    128,                 2.0244,                 1.9386,                 2.6295,                0.70942,                0.73242,                0.74309,                0.34095,                  2.059,                 1.7971,                 2.7709,              0.0010021,              0.0010021,              0.0010021
